"filename", "language", "HTML", "JSON", "JSON with Comments", "JavaScript", "Rust", "TypeScript", "TOML", "Markdown", "XML", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\tomas\Documents\samtro-app\src\pages\products.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 297, 0, 18, 315
"c:\Users\tomas\Documents\samtro-app\src\utils\api.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 1, 20
"c:\Users\tomas\Documents\samtro-app\src\utils\props.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 4, 24
"c:\Users\tomas\Documents\samtro-app\src\utils\usePopup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 14, 115
"c:\Users\tomas\Documents\samtro-app\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\tomas\Documents\samtro-app\tailwind.config.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 0, 10
"c:\Users\tomas\Documents\samtro-app\tsconfig.json", "JSON with Comments", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\tomas\Documents\samtro-app\tsconfig.node.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\tomas\Documents\samtro-app\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 7, 4, 33
"Total", "-", 13, 3508, 21, 15, 444, 22, 4817, 30, 8, 3, 1181, 84, 708, 10854
